City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Smithers,CA,54.7804,-127.1743,7.12,85,0,6.91,clear sky
302,Nesna,NO,66.1967,13.0213,30.42,73,100,17.81,light snow
303,Coahuayana,MX,18.7333,-103.6833,72.3,61,31,1.1,scattered clouds
304,Guadalupe Y Calvo,MX,26.1,-106.9667,42.75,18,69,4.45,broken clouds
305,Tungi,BD,23.89,90.4058,71.6,78,7,4.61,mist
306,Windhoek,NA,-22.5594,17.0832,86.49,10,0,11.5,clear sky
307,Vostok,RU,46.4856,135.8833,-15.63,98,100,4.76,overcast clouds
308,Faya,SA,18.3851,42.4509,59.11,57,83,2.64,broken clouds
309,Caravelas,BR,-17.7125,-39.2481,76.23,82,97,2.57,overcast clouds
310,Saint George,US,37.1041,-113.5841,28.99,74,0,4.61,clear sky
311,Zhezkazgan,KZ,47.8043,67.7144,19.38,73,75,6.71,broken clouds
312,Miranda,CO,3.2499,-76.2281,77.13,71,63,4.34,broken clouds
313,Norman Wells,CA,65.282,-126.8329,-9.36,84,75,3.44,light snow
314,Uthal,PK,25.8072,66.6219,70.5,34,0,4.09,clear sky
315,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,79,40,6.91,scattered clouds
316,Sur,OM,22.5667,59.5289,75.78,51,0,10.38,clear sky
317,Severo-Kurilsk,RU,50.6789,156.125,25.18,62,73,14.23,broken clouds
318,Bathsheba,BB,13.2167,-59.5167,84.81,81,40,24.16,scattered clouds
319,Yumen,CN,40.2833,97.2,5.86,56,0,5.39,clear sky
320,Kimbe,PG,-5.5502,150.1429,75.78,93,88,2.55,overcast clouds
321,Cosala,MX,24.4125,-106.6908,59.72,41,100,2.21,overcast clouds
322,Puerto Escondido,MX,15.85,-97.0667,79.7,61,27,1.12,scattered clouds
323,Atambua,ID,-9.1061,124.8925,74.53,88,100,2.82,overcast clouds
324,Campbell River,CA,50.0163,-125.2446,36.45,100,100,5.75,overcast clouds
325,Commerce,US,34.0006,-118.1598,60.03,51,0,3.44,clear sky
326,Nanao,JP,37.05,136.9667,37.33,86,100,5.23,overcast clouds
327,Vzmorye,RU,54.6961,20.2361,21.29,94,100,4.56,overcast clouds
328,Kidal,ML,18.4411,1.4078,86.72,9,0,11.56,clear sky
329,Ayagoz,KZ,47.9714,80.4392,-7.71,78,0,6.35,clear sky
330,Vestmannaeyjar,IS,63.4427,-20.2734,23.99,80,75,5.75,broken clouds
331,Teknaf,BD,20.8624,92.3058,66.16,81,76,9.66,broken clouds
332,Prince Rupert,CA,54.3161,-130.3201,37.09,100,100,9.22,mist
333,Kabanjahe,ID,3.1001,98.4908,64.69,96,100,0.31,overcast clouds
